time_iso8601,clones_total,clones_unique,views_total,views_unique
2022-08-16 00:00:00+00:00,0,0,1,1
2022-08-17 00:00:00+00:00,26,8,171,2
2022-08-18 00:00:00+00:00,1,1,4,2
2022-08-24 00:00:00+00:00,0,0,17,3
2022-08-25 00:00:00+00:00,0,0,12,2
2022-08-26 00:00:00+00:00,10,6,24,1
2022-08-29 00:00:00+00:00,4,4,104,1
2022-08-30 00:00:00+00:00,6,4,137,2
2022-08-31 00:00:00+00:00,7,4,55,1
2022-09-01 00:00:00+00:00,5,4,18,1
2022-09-02 00:00:00+00:00,7,5,46,1
2022-09-03 00:00:00+00:00,3,3,0,0
2022-09-04 00:00:00+00:00,1,1,0,0
2022-09-06 00:00:00+00:00,1,1,37,1
2022-09-07 00:00:00+00:00,1,1,5,2
2022-09-09 00:00:00+00:00,1,1,0,0
2022-09-10 00:00:00+00:00,1,1,0,0
2022-09-11 00:00:00+00:00,1,1,0,0
2022-09-12 00:00:00+00:00,2,2,21,1
2022-09-13 00:00:00+00:00,1,1,0,0
2022-09-14 00:00:00+00:00,3,3,101,1
2022-09-15 00:00:00+00:00,1,1,7,1
2022-09-16 00:00:00+00:00,1,1,6,1
2022-09-17 00:00:00+00:00,1,1,0,0
2022-09-18 00:00:00+00:00,1,1,0,0
2022-09-19 00:00:00+00:00,2,2,0,0
2022-09-20 00:00:00+00:00,2,2,0,0
2022-09-21 00:00:00+00:00,1,1,0,0
2022-09-22 00:00:00+00:00,2,2,0,0
2022-09-23 00:00:00+00:00,2,2,0,0
2022-09-24 00:00:00+00:00,1,1,0,0
2022-09-25 00:00:00+00:00,1,1,0,0
2022-09-26 00:00:00+00:00,1,1,0,0
2022-09-27 00:00:00+00:00,2,2,0,0
2022-09-28 00:00:00+00:00,1,1,7,1
2022-09-29 00:00:00+00:00,1,1,0,0
2022-09-30 00:00:00+00:00,2,2,10,1
2022-10-01 00:00:00+00:00,1,1,26,2
2022-10-02 00:00:00+00:00,1,1,15,1
2022-10-03 00:00:00+00:00,3,3,22,1
2022-10-04 00:00:00+00:00,3,2,105,1
2022-10-05 00:00:00+00:00,1,1,0,0
2022-10-06 00:00:00+00:00,2,2,0,0
2022-10-07 00:00:00+00:00,3,2,0,0
2022-10-08 00:00:00+00:00,2,2,1,1
2022-10-09 00:00:00+00:00,2,2,0,0
2022-10-10 00:00:00+00:00,1,1,0,0
2022-10-11 00:00:00+00:00,1,1,0,0
2022-10-12 00:00:00+00:00,1,1,0,0
2022-10-13 00:00:00+00:00,1,1,0,0
2022-10-14 00:00:00+00:00,2,2,0,0
2022-10-15 00:00:00+00:00,2,2,0,0
2022-10-16 00:00:00+00:00,2,2,0,0
2022-10-17 00:00:00+00:00,1,1,15,1
2022-10-18 00:00:00+00:00,1,1,0,0
2022-10-19 00:00:00+00:00,2,2,0,0
2022-10-20 00:00:00+00:00,1,1,0,0
2022-10-21 00:00:00+00:00,4,4,0,0
2022-10-22 00:00:00+00:00,2,2,0,0
2022-10-23 00:00:00+00:00,2,2,1,1
2022-10-24 00:00:00+00:00,1,1,0,0
2022-10-25 00:00:00+00:00,3,3,1,1
2022-10-26 00:00:00+00:00,1,1,16,1
2022-10-27 00:00:00+00:00,2,2,0,0
2022-10-28 00:00:00+00:00,3,3,1,1
2022-10-29 00:00:00+00:00,1,1,0,0
2022-10-30 00:00:00+00:00,1,1,0,0
2022-10-31 00:00:00+00:00,2,2,0,0
2022-11-01 00:00:00+00:00,1,1,1,1
