data_object_id	obj_url	height	width	xmin	ymin	xmax	ymax	name
13230194	http://africanamphibians.lifedesks.org/image/view/1637/_original	256	383	0	0	0.0	0.0	Anura
12582480	http://biogeodb.stri.si.edu/bioinformatics/dfmfiles/files/d/42904/42904_400.jpg	263	400	162	41.0017	384.0	263.0017	Anura
13230788	http://africanamphibians.lifedesks.org/image/view/2167/_original	480	640	98.688	29.328	517.376	448.01599999999996	Anura
12581693	http://biogeodb.stri.si.edu/bioinformatics/dfmfiles/files/d/43005/43005_400.jpg	262	400	107	25.9904	309.0	227.9904	Anura
21638244	http://calphotos.berkeley.edu/imgs/512x768/0000_0000/0812/0342.jpeg	504	768	196.3008	75.4488	536.2176000000001	415.36560000000003	Anura
13157777	http://calphotos.berkeley.edu/imgs/512x768/0000_0000/0408/1436.jpeg	512	683	135.1657	82.4832	554.9375	502.255	Anura
26906516	http://upload.wikimedia.org/wikipedia/commons/5/58/Batrachyla_teniata.jpg	512	682	51.15	0	527.1178	475.9678	Anura
26853607	http://upload.wikimedia.org/wikipedia/commons/6/6d/Budgett%27s_Frog.jpg	1524	2104	139.7056	55.0164	1608.7184	1524.0292	Anura
12582514	http://biogeodb.stri.si.edu/bioinformatics/dfmfiles/files/d/38433/38433_400.jpg	268	400	70	0	338.0	268.0	Anura
13230053	http://africanamphibians.lifedesks.org/image/view/2036/_original	283	383	30.9847	0	313.98339999999996	282.9987	Anura
12580697	http://biogeodb.stri.si.edu/bioinformatics/dfmfiles/files/c/12749/12749_400.jpg	268	400	95	0	363.0	268.0	Anura
13465020	http://calphotos.berkeley.edu/imgs/512x768/0000_0000/0211/0170.jpeg	531	709	166.5441	64.8882	583.7197	482.06379999999996	Anura
26121555	http://mczbase.mcz.harvard.edu/specimen_images/herpetology/large/A148246_R_darwinii_d.jpg	745	1000	387.2	138.6445	991.8	743.2445	Anura
13163644	http://calphotos.berkeley.edu/imgs/512x768/0000_0000/0907/0877.jpeg	468	700	113.19	0	581.56	468.37	Anura
26911156	http://upload.wikimedia.org/wikipedia/commons/0/08/Nasikabatrachus_sahyadrensis.jpg	1288	1699	178.9047	0	1466.5768	1287.6721	Anura
13148557	http://calphotos.berkeley.edu/imgs/512x768/0000_0000/0110/3449.jpeg	512	716	59.786	0	572.2272	512.4412	Anura
27480323	http://farm2.staticflickr.com/1068/5108299653_a412d84f09_o.jpg	2492	2848	311.856	276.8612	2480.8927999999996	2445.8979999999997	Anura
