data_object_id	obj_url	height	width	xmin	ymin	xmax	ymax	name
2005729	http://www.biolib.cz/IMG/GAL/21435.jpg	466	700	107.59	0	572.95	465.36	Carnivora
27707819	http://upload.wikimedia.org/wikipedia/commons/3/37/Wild_Sumatran_tiger.jpg	458	660	151.338	0	609.114	457.776	Carnivora
26862697	http://upload.wikimedia.org/wikipedia/commons/4/49/Lynx_Nationalpark_Bayerischer_Wald_01.jpg	2592	3872	770.1408	201.6576	3065.8496	2497.3664	Carnivora
24979547	http://farm4.staticflickr.com/3529/4019916190_bf5e9a3ed8_o.jpg	768	1024	198.4512	132.2496	742.4	676.1984	Carnivora
16889644	http://calphotos.berkeley.edu/imgs/512x768/6666_6666/0112/0401.jpeg	512	768	271.6416	209.0496	544.7424	482.1504	Carnivora
27380231	http://farm7.staticflickr.com/6133/6017855467_32031e1067_o.jpg	2592	4320	1111.968	64.0224	3096.1440000000002	2048.1983999999998	Carnivora
28601442	http://farm8.staticflickr.com/7096/6934532302_45cf5bdf53_o.jpg	1536	2048	1007.0016	234.7008	1894.4	1122.0992	Carnivora
31743754	https://farm3.staticflickr.com/2762/4068764908_7873bd71cb_o.jpg	768	1024	142.9504	36.2496	834.1504	727.4496	Carnivora
31618269	https://farm5.staticflickr.com/4106/5179699766_ac5947814a_o.jpg	691	922	316.9836	122.8598	718.4224	524.2986000000001	Carnivora
25661983	http://upload.wikimedia.org/wikipedia/commons/c/c3/SlothBearTree.jpg	533	800	170.4	136.2348	524.48	490.3148	Carnivora
31641616	https://farm5.staticflickr.com/4039/4465380932_5596b198ef_o.jpg	650	1024	265.5232	17.03	881.8688	633.3756	Carnivora
25595506	http://upload.wikimedia.org/wikipedia/commons/7/7e/Schwarzb%C3%A4r-Omega_Park.jpg	1362	1858	348.1892	170.25	1502.3788	1324.4396	Carnivora
27384151	http://static.inaturalist.org/photos/617734/original.jpg?1388196437	960	640	37.312	264	469.312	696.0	Carnivora
27139990	http://upload.wikimedia.org/wikipedia/commons/3/3d/Hooded_Skunk_side_%28Gelsenkirchen%29.jpg	712	1068	174.084	0	884.0904	710.0064	Carnivora
27761383	http://upload.wikimedia.org/wikipedia/commons/4/47/Cape_fox_and_cub.jpg	2212	3331	1023.9494	986.7732	1535.9241	1498.7478999999998	Carnivora
31870969	https://farm4.staticflickr.com/3165/2895397902_0d227d2206_o.jpg	768	1024	224.0512	115.2	855.552	746.7008000000001	Carnivora
27708621	http://upload.wikimedia.org/wikipedia/commons/4/4a/Striped_Skunk_not_a_cat.jpg	1728	2304	446.5152	0	2160.2304	1713.7152	Carnivora
24941074	http://farm6.staticflickr.com/5225/5673815323_eacd3d9313_o.jpg	1168	2106	713.7234	358.4592	1205.0531999999998	849.789	Carnivora
23422280	http://static.inaturalist.org/photos/263301/original.JPG?1362164763	1236	1648	439.5216	422.3412	666.1216	648.9412	Carnivora
24840117	http://static.inaturalist.org/photos/352923/original.JPG?1370138679	2048	1406	0	278.7328	1309.2672	1588.0	Carnivora
27291895	http://upload.wikimedia.org/wikipedia/commons/d/de/Bobcat_sitting_in_tree.jpg	3320	4936	415.1176	73.704	3634.8704000000002	3293.4568000000004	Carnivora
2005686	http://www.biolib.cz/IMG/GAL/21486.jpg	477	700	83.51	90.1053	469.28	475.8753	Carnivora
26784269	http://upload.wikimedia.org/wikipedia/commons/e/eb/Two_cheetahs_together.jpg	736	1083	185.9511	34.7392	886.8687	735.6568	Carnivora
28711456	http://upload.wikimedia.org/wikipedia/commons/1/1d/Harbor_Seal_%28Phoca_vitulina%29.jpg	1320	2162	900.9054	124.212	2002.0120000000002	1225.3186	Carnivora
27162384	http://upload.wikimedia.org/wikipedia/commons/0/0a/FelisAurataKeulemans.jpg	1738	2871	1440.9549	175.538	2541.4092	1275.9923000000001	Carnivora
19144637	http://www.biopix.com/photos/ANE-Alopex-lagopus-01633.jpg	478	640	228.352	127.4826	568.256	467.3866	Carnivora
