data_object_id	obj_url	height	width	xmin	ymin	xmax	ymax	name
31721321	http://www.biopix.com/photos/JCS-Thanatophilus-rugosus-66540.JPG	426	640	96	44.73	458.688	407.418	Coleoptera
13445616	http://calphotos.berkeley.edu/imgs/512x768/1111_1111/1111/2413.jpeg	768	512	8.5504	115.2	503.5008	610.1504	Coleoptera
13445619	http://calphotos.berkeley.edu/imgs/512x768/1111_1111/1111/8621.jpeg	533	800	171.84	22.2261	662.24	512.6261	Coleoptera
5815295	http://www.biolib.cz/IMG/GAL/88707.jpg	453	680	68	0	521.356	453.356	Coleoptera
19142622	http://www.biopix.com/photos/SDL-Acanthocinus-aedilis-00006.jpg	425	640	321.216	182.495	503.744	365.023	Coleoptera
19142626	http://www.biopix.com/photos/SDL-Acanthocinus-aedilis-00015.jpg	425	640	165.952	67.5325	484.736	386.3165	Coleoptera
19142630	http://www.biopix.com/photos/SDL-Acanthocinus-aedilis-00010.jpg	425	640	208.576	52.1475	565.312	408.8835	Coleoptera
5817090	http://www.biolib.cz/IMG/GAL/97143.jpg	467	700	172.41	0	639.1	466.69	Coleoptera
31870454	https://farm9.staticflickr.com/8606/16059602549_86158d76bf_o.jpg	675	900	133.11	14.985	684.36	566.235	Coleoptera
22833434	http://www.discoverlife.org/mp/20p?img=I_MWS64214&res=mx	1070	1389	225.9903	0	1296.7704	1070.7801	Coleoptera
2003705	http://www.biolib.cz/IMG/GAL/11318.jpg	500	375	0	69.45	375	444.45	Coleoptera
5816523	http://www.biolib.cz/IMG/GAL/106367.jpg	500	750	58.35	0	558.375	500.025	Coleoptera
19143787	http://www.biopix.com/photos/GDR-Agonum-muelleri-05296.jpg	513	640	72.704	0	541.632	468.928	Coleoptera
19189695	http://www.biopix.com/photos/JCS-Tribolium-confusum-20950.jpg	480	640	182.656	279.984	274.688	372.016	Coleoptera
23861328	http://www.biopix.com/photos/Dasytes-caeruleus-00003.JPG	423	640	123.264	1.1844	544	421.9204	Coleoptera
2003459	http://www.biolib.cz/IMG/GAL/59447.jpg	453	680	109.548	0	562.904	453.356	Coleoptera
2000554	http://www.biolib.cz/IMG/GAL/33730.jpg	502	670	149.343	83.6834	487.157	421.4974	Coleoptera
27973280	http://static.inaturalist.org/photos/682791/original.jpg?1392854689	2048	1536	631.4496	677.0688	1285.632	1331.2512	Coleoptera
29805936	http://static.inaturalist.org/photos/934295/original.JPG?1403109609	598	608	156.1344	207.6256	416.9664	468.4576	Coleoptera
23363021	http://static.inaturalist.org/photos/230656/original.JPG?1357565100	1534	1410	255.633	306.8	1243.902	1295.069	Coleoptera
13235050	http://canopy.lifedesks.org/image/view/778/_original	1703	2447	364.3583	0	2068.2044	1703.8461	Coleoptera
26781256	http://upload.wikimedia.org/wikipedia/commons/0/06/Ladybird.jpg	768	1024	87.4496	0	680.5504	593.1008	Coleoptera
31445846	https://farm3.staticflickr.com/2476/3582404644_d877cffbbf_o.jpg	1000	1333	194.3514	0	1194.1014	999.75	Coleoptera
24902851	http://farm2.staticflickr.com/1109/4596797173_2ae875b354_o.jpg	1024	784	0	105.2672	784	889.2672	Coleoptera
2000907	http://www.biolib.cz/IMG/GAL/72911.jpg	453	680	156.128	0	608.192	452.064	Coleoptera
5817333	http://www.biolib.cz/IMG/GAL/81128.jpg	453	680	125.936	0	578	452.064	Coleoptera
