taxon	freq
Orchidaceae	296
Fabaceae	258
Asteraceae	250
Bovidae	232
Vespertilionidae	217
Pteropodidae	216
Sciuridae	200
Muridae	193
Anatidae	192
Nymphalidae	188
Accipitridae	163
Iridaceae	141
Hylidae	137
Felidae	137
Psittacidae	131
Muscicapidae	130
Cercopithecidae	130
Laridae	126
Noctuidae	120
Columbidae	116
Poaceae	111
Rhinolophidae	105
Scolopacidae	101
Canidae	100
Cyperaceae	99
Emberizidae	98
Phasianidae	97
Ranunculaceae	97
Plethodontidae	97
Trochilidae	95
Lemuridae	94
Solanaceae	92
Colubridae	90
Papilionidae	90
Cervidae	87
Corvidae	86
Rosaceae	85
Bufonidae	84
Mustelidae	84
Lamiaceae	80
Cyprinidae	76
Brassicaceae	75
Gekkonidae	74
Apidae	73
Libellulidae	73
Picidae	72
Ardeidae	71
Asparagaceae	70
Paridae	67
Lycaenidae	67
Cebidae	66
Chrysomelidae	65
Procyonidae	63
Charadriidae	62
Mantidae	60
Sphingidae	59
Orobanchaceae	59
Falconidae	58
Strigidae	57
Ursidae	57
Molossidae	57
Syrphidae	57
Leporidae	56
Araneidae	56
Caryophyllaceae	56
Phocidae	56
Rubiaceae	55
Geometridae	55
Fringillidae	55
Parulidae	55
Thraupidae	55
Plantaginaceae	54
Polychrotidae	54
Cerambycidae	54
Emballonuridae	53
Delphinidae	53
Ambystomatidae	52
Pieridae	51
Pleuronectidae	50
Agamidae	49
Coccinellidae	49
Apiaceae	48
Rutaceae	47
Procellariidae	47
Hominidae	46
Acrididae	46
Gobiidae	46
Estrildidae	46
Pomacentridae	46
Malvaceae	46
Scincidae	45
Saturniidae	45
Microhylidae	45
Phyllostomidae	44
Ranidae	43
Stylidiaceae	43
Formicidae	43
Amaryllidaceae	43
Icteridae	43
Viperidae	42
Otariidae	42
Dugesiidae	42
Callitrichidae	42
Sylviidae	42
Pinaceae	41
Serranidae	40
Tettigoniidae	40
Liliaceae	40
Alaudidae	40
Ramphastidae	40
Labridae	40
Cucurbitaceae	39
Motacillidae	39
Arctiidae	39
Carcharhinidae	38
Emydidae	38
Phrynosomatidae	38
Threskiornithidae	37
Proteaceae	37
Curculionidae	37
Herpestidae	36
Carabidae	36
Laniidae	36
Lacertidae	36
Tyrannidae	36
Cracidae	36
Dendrobatidae	36
Moraceae	35
Hylobatidae	35
Turdidae	35
Calopterygidae	35
Soricidae	34
Sturnidae	34
Amanitaceae	34
Campanulaceae	34
Pitheciidae	33
Equidae	33
Cetoniidae	33
Chamaeleonidae	33
Ericaceae	33
Buprestidae	32
Indridae	32
Cuculidae	32
Tapiridae	31
Diomedeidae	31
Syngnathidae	31
Hirundinidae	31
Zygaenidae	31
Crocodylidae	31
Testudinidae	30
Malaconotidae	30
Alcedinidae	30
Muraenidae	30
Acanthuridae	29
Camelidae	29
Chaetodontidae	29
Bucerotidae	29
Cichlidae	29
Alcidae	28
Boraginaceae	28
Scrophulariaceae	28
Salamandridae	28
Tricholomataceae	28
Salticidae	28
Fagaceae	28
Agaricaceae	27
Erinaceidae	27
Dasypodidae	27
Rallidae	26
Araceae	26
Bignoniaceae	26
Caprifoliaceae	26
Soleidae	26
Cactaceae	26
Papaveraceae	26
Euphorbiaceae	26
Mephitidae	26
Pentatomidae	25
Spheniscidae	25
Hesperiidae	25
Annonaceae	25
Phalacrocoracidae	25
Passeridae	25
Suidae	24
Viverridae	24
Macropodidae	24
Polygalaceae	24
Cheloniidae	24
Nycteridae	24
Ciconiidae	24
Pseudocerotidae	24
Nectariniidae	24
Polygonaceae	23
Tenebrionidae	23
Membracidae	23
Colchicaceae	23
Primulaceae	23
Megadermatidae	22
Gentianaceae	22
Didelphidae	22
Aeshnidae	22
Acanthaceae	22
Oleaceae	22
Onagraceae	22
Boidae	22
Podicipedidae	22
Apocynaceae	22
Gruidae	22
Myrtaceae	22
Helicidae	21
Hyperoliidae	21
Acipenseridae	21
Achiridae	21
Scaridae	21
Cardinalidae	21
Apodidae	20
Juncaceae	20
Cicadellidae	20
Asilidae	20
Mycenaceae	20
Varanidae	20
Heteromyidae	20
Coreidae	20
Meropidae	20
Bromeliaceae	20
Scorpaenidae	20
Cordylidae	20
Meloidae	20
Passifloraceae	20
Centrolenidae	19
Iguanidae	19
Hynobiidae	19
Lauraceae	19
Goodeniaceae	19
Holocentridae	19
Haematopodidae	19
Oedemeridae	18
Manidae	18
Miridae	18
Salmonidae	18
Hymenopodidae	17
Musophagidae	17
Geraniaceae	17
Troglodytidae	17
Caviidae	17
Burhinidae	17
Gadidae	17
Elephantidae	17
Planariidae	17
Caprimulgidae	17
Cathartidae	17
Phrynobatrachidae	17
Celastraceae	16
Not	16
Teiidae	16
Convolvulaceae	16
Elateridae	16
Sebastidae	16
Macroscelididae	16
Blenniidae	16
Ochotonidae	16
Coenagrionidae	16
Tortricidae	16
Chromodorididae	16
Tinamidae	16
Myliobatidae	16
Tarachodidae	16
Crambidae	15
Bombyliidae	15
Cupressaceae	15
Sparidae	15
Halictidae	15
Meliphagidae	15
Arthroleptidae	15
Indriidae	15
Recurvirostridae	15
Sapindaceae	15
Balaenopteridae	15
Anguidae	15
Chrysopidae	15
Phoeniculidae	15
Scarabaeidae	15
Elapidae	14
Octopodidae	14
Myoxidae	14
Erethizontidae	14
Commelinaceae	14
Leiuperidae	14
Verbenaceae	14
Scyliorhinidae	14
Salicaceae	14
Carangidae	14
Giraffidae	13
Pelecanidae	13
Rhinocerotidae	13
Empusidae	13
Nepenthaceae	13
Culicidae	13
Arionidae	13
Thomisidae	13
Diogenidae	13
Lepisosteidae	13
Hipposideridae	13
Dioscoreaceae	13
Littorinidae	13
Adelidae	13
Panorpidae	13
Geoemydidae	13
Eleutherodactylidae	13
Linaceae	13
Ovulidae	13
Cistaceae	13
Geomyidae	13
