taxon	freq
Anas	67
carex	62
Papilio	58
Rhinolophus	57
Hipposideros	54
Moraea	48
Pteropus	48
Ambystoma	48
Panthera	47
Spermophilus	46
Cossypha	46
Hyla	44
Myotis	44
Tarsiger	43
Falco	43
Epomophorus	41
Poecile	41
Pipistrellus	40
Bombus	40
Euphydryas	40
Canis	40
Stylidium	39
Eidolon	39
Macaca	39
Procyon	37
Ursus	37
Sciurus	37
Varecia	36
Propithecus	35
Calopteryx	34
Dietes	34
Hylobates	34
Amanita	34
Plethodon	33
Vulpes	32
Prostanthera	32
Buteo	31
Anolis	31
Tapirus	31
Taphozous	30
Lithobates	30
Vicia	30
Eptesicus	30
Atelopus	29
coccocypselum	29
Scotophilus	28
Lanius	28
Pinus	28
Tamias	27
Ophrys	27
Larus	27
Lepus	27
Alouatta	26
Ranunculus	26
Calidris	26
Carcharhinus	26
Equus	26
Emberiza	25
Eulemur	25
Dugesia	24
Allium	24
Nycteris	24
Microtus	23
Rhyothemis	23
Dendroica	23
Lemur	23
Rousettus	22
Vanellus	22
Sylvilagus	22
Lathyrus	22
Charadrius	22
Turdus	22
Corvus	22
Solanum	21
Astragalus	21
Tringa	21
Chaetodon	21
Chroicocephalus	21
Quercus	20
Hippocampus	20
Orchis	20
Epidendrum	20
Norops	20
Erinaceus	20
Varanus	20
Euphrasia	20
Melanerpes	20
Crax	20
Laniarius	20
Carduelis	20
Merops	20
Camelus	19
Capra	19
Nectarinia	19
Thysanotus	19
Trifolium	19
Anthus	19
Chalinolobus	19
Passer	19
Haematopus	19
Motacilla	19
Cercopithecus	19
Phalacrocorax	19
Galerida	19
Mops	19
Egretta	18
Litoria	18
Haliaeetus	18
Manis	18
Ficus	18
Prionailurus	18
Sceloporus	17
campanula	17
Callicebus	17
Aquila	17
subEuphydryas	17
Marmota	17
Icterus	17
Plantago	17
Phrynobatrachus	17
Acanthurus	17
Grus	17
Martes	17
Tragelaphus	17
Cervus	16
Macropus	16
Arctocephalus	16
Chaerephon	16
Oxytropis	16
boronia	16
Lavia	16
Dactylorhiza	16
Zygaena	16
iris	16
Ochotona	16
Dendropsophus	16
Euphonia	16
Anaxyrus	16
Chrysolophus	15
Mustela	15
Callosciurus	15
Danaus	15
Nasua	15
Geospiza	15
Passiflora	15
Acipenser	15
Coleura	15
Phoeniculus	15
Mycena	15
Eremophila	15
Lonicera	15
euphorbia	15
Puffinus	15
Peromyscus	15
Mantis	15
Burhinus	14
Ardea	14
Amazona	14
Libellula	14
lynx	14
Sus	14
Pseudoceros	14
Podarcis	14
Neotoma	14
Crotalus	14
Sebastes	14
Platalea	14
Pandorea	14
Colotis	14
Felis	14
Plestiodon	14
Gorilla	14
Sorex	13
Piranga	13
Pelecanus	13
Dendrobates	13
Trinectes	13
Gymnothorax	13
Cirsium	13
Dioscorea	13
Ameles	13
Balaenoptera	13
Branta	13
Leontopithecus	13
Miniopterus	13
Tauraco	13
Panorpa	13
Epomops	13
Leucophaeus	13
Sterna	13
Pseudocreobotra	13
Platysaurus	13
Saguinus	13
Nepenthes	13
Oophaga	13
Tigridia	13
Homo	13
Orthetrum	13
Papio	13
Chamaeleo	13
Fratercula	13
Linum	13
Dipodomys	12
Ateles	12
Solenostomus	12
Hemitragus	12
Desmognathus	12
Ailuropoda	12
Megascops	12
Neotinea	12
Limosa	12
Pediastrum	12
Aquilegia	12
Thalassarche	12
Carex	12
Phrynosoma	12
Mus	12
Thalasseus	12
Lepanthes	12
Medicago	12
Juncus	12
Loxodonta	12
Hyperolius	12
Sargocentron	12
Kobus	12
Lupinus	12
Jasminum	12
Hemaris	11
Platanthera	11
magnolia	11
