taxon	freq
Passeriformes	1237
Lepidoptera	906
Chiroptera	764
Squamata	665
Carnivora	652
Anura	598
Rodentia	568
Asparagales	554
Coleoptera	549
Primates	544
Perciformes	531
Artiodactyla	406
Charadriiformes	405
Asterales	353
Lamiales	323
Diptera	288
Fabales	279
Poales	258
Hymenoptera	240
Caudata	211
Anseriformes	195
Accipitriformes	187
Agaricales	179
Araneae	170
Caryophyllales	168
Hemiptera	165
Odonata	163
Rosales	141
Testudines	140
Ranunculales	136
Psittaciformes	131
Orthoptera	129
Pelecaniformes	123
Columbiformes	118
Piciformes	117
Apodiformes	116
Pleuronectiformes	115
Mantodea	114
Decapoda	114
Solanales	108
Ericales	108
Galliformes	106
Malpighiales	104
Gentianales	99
Seriata	99
Cypriniformes	91
Procellariiformes	90
Cetacea	87
Scorpaeniformes	84
Brassicales	83
Perissodactyla	81
Strigiformes	80
Coraciiformes	74
Malvales	72
Lagomorpha	72
Sapindales	71
Liliales	71
Gruiformes	69
Neuroptera	62
Pinales	62
Not	62
Stylommatophora	61
Carcharhiniformes	60
Falconiformes	58
Apiales	57
Alismatales	52
Myrtales	51
Nudibranchia	49
Syngnathiformes	48
Littorinimorpha	47
Dipsacales	46
Anguilliformes	45
Soricomorpha	45
Diprotodontia	45
Suliformes	44
Craciformes	41
Magnoliales	39
Fagales	39
Proteales	38
Tetraodontiformes	37
Veneroida	36
Siluriformes	35
Commelinales	34
Cuculiformes	33
Cucurbitales	33
Myliobatiformes	31
Bucerotiformes	31
Crocodylia	31
Saxifragales	30
Boraginales	28
Terebellida	28
Cingulata	27
Erinaceomorpha	27
Gadiformes	27
Pezizales	27
Polyporales	26
Beryciformes	26
Laurales	26
Lecanorales	25
Sphenisciformes	25
Scleractinia	25
Tricladida	24
Ciconiiformes	24
Acipenseriformes	23
Plecoptera	23
Isopoda	23
Phasmida	22
Didelphimorphia	22
Podicipediformes	22
Pilosa	22
Cyprinodontiformes	21
Octopoda	21
Neogastropoda	20
Lophiiformes	19
Salmoniformes	19
Gymnophiona	19
Boletales	19
Blattodea	18
Russulales	18
Pholidota	18
Squaliformes	18
Rajiformes	18
Polycladida	17
Geraniales	17
Chimaeriformes	17
Characiformes	17
Proboscidea	17
Musophagiformes	17
Trichoptera	17
Struthioniformes	16
Polypodiales	16
Dasyuromorphia	16
Actiniaria	16
Tinamiformes	16
Upupiformes	16
Macroscelidea	16
Celastrales	16
Mecoptera	15
Oegopsida	15
Ephemeroptera	15
Megaloptera	15
Piperales	15
Phyllodocida	15
Sirenia	14
Pleurogona	14
Phthiraptera	14
Dioscoreales	14
Semaeostomeae	14
Physarales	13
Raphidioptera	13
Osteoglossiformes	13
Lepisosteiformes	13
Sphaeropleales	13
Helotiales	13
Unionoida	13
Chlamydomonadales	12
Beloniformes	12
Amphipoda	12
Petromyzontiformes	12
Arhynchobdellida	12
Gasterosteiformes	12
Hypnales	12
Galbuliformes	12
Cetartiodactyla	12
Trogoniformes	11
Phoenicopteriformes	11
Clupeiformes	11
Valvatida	11
Dermaptera	11
Dendrochirotida	11
Polypteriformes	11
Camarodonta	11
Ceramiales	10
Afrosoricida	10
Hyracoidea	10
Monotremata	10
Lamniformes	10
Rhizostomeae	10
Sepiida	10
Isoptera	10
Cornales	9
Scolopendromorpha	9
Zygentoma	9
Rhabdocoela	9
Marchantiales	9
Desmidiales	9
Aulopiformes	9
Anthoathecata	9
Amoebida	9
Gaviiformes	9
Sauropterygia	9
Collembola	9
Cydippida	8
Ophioglossales	8
Psocodea	8
Lecithoepitheliata	8
Phaethontiformes	8
Austrobaileyales	8
Myxiniformes	8
Zingiberales	8
Enterogona	8
Ophidiiformes	8
Alcyonacea	8
Dermoptera	8
Selaginellales	8
Hypocreales	7
Polydesmida	7
Lepidosireniformes	7
Laminariales	7
Haemosporida	7
Siphonophorae	7
Stemonitales	7
Phallales	7
Scandentia	7
Santalales	7
Thysanoptera	7
Forcipulatida	7
Sacoglossa	7
Corallinales	7
Dasypogonales	7
Orectolobiformes	7
Siphonaptera	7
Ophiurida	7
Rhodogorgonales	7
Oxalidales	7
Stomiiformes	7
Esociformes	7
Saccharomycetales	7
parvHeteroneura	7
Arecales	6
Sabellida	6
Diplostomida	6
Ixodida	6
Squatiniformes	6
Auriculariales	6
Parachela	6
Nymphaeales	6
Tubulidentata	6
Xiphosura	6
Peramelemorphia	6
Coelacanthiformes	6
Torpediniformes	6
Teuthida	6
Lampriformes	6
Osmeriformes	6
Lobata	6
Clypeasteroida	6
Stomatopoda	6
Bdelloidea	5
Batrachoidiformes	5
Trichiales	5
Teloschistales	5
Ceriantharia	5
Gonyaulacales	5
Haplosclerida	5
Thelephorales	5
Amphinomida	5
Acoela	5
Aspidochirotida	5
Opiliones	5
Zygophyllales	5
Ploima	5
Euglenales	5
Grimmiales	5
Liceales	4
Salviniales	4
Cubomedusae	4
Pectinoida	4
Bangiales	4
Kinetoplastida	4
Prolecithophora	4
Funariales	4
Cycadales	4
Pedunculata	4
Ulvales	4
Pristiformes	4
Ceratodontiformes	4
Pteroclidiformes	4
Biddulphiales	4
Atheriniformes	4
Fucales	4
Glomerida	4
Pucciniales	4
Nautilida	4
Bryopsidales	4
Equisetales	4
Coliiformes	4
Cyttariales	4
Synbranchiformes	3
Xylariales	3
Myopsida	3
Cladophorales	3
Choreotrichida	3
Orthotrichales	3
Rhabditida	3
Anaspidea	3
Lyssacinosida	3
Mesostigmata	3
Pelycosauria	3
Polyxenida	3
Antipatharia	3
Hygrophila	3
Coronatae	3
Notostraca	3
Dictyotales	3
Scorpiones	3
Prostigmata	3
Mantophasmatodea	3
Kentrogonida	3
Pandanales	3
Spinulosida	3
Protura	3
Zoopagales	3
Cephalaspidea	3
Peltigerales	3
Craspedomonadales	3
Basommatophora	3
Xenarthra	3
Albuliformes	3
Nostocales	3
Saccopharyngiformes	3
Endogonales	3
Rhynchobdellida	3
Strigeidida	3
Buxales	3
Hexanchiformes	3
Macrostomida	3
Gymnodiniales	3
Ostropales	3
Heterodontiformes	3
Euphausiacea	3
Charales	3
Noctilucales	2
Geastrales	2
Beroida	2
Plagiorchiida	2
Eunicida	2
Halobacteriales	2
Apochela	2
Diadematoida	2
Pyrenulales	2
Euryalida	2
Triceratiales	2
Nassellaria	2
Choanoflagellida	2
Climatiiformes	2
Neotaenioglossa	2
Verrucariales	2
Gunnerales	2
Gordioidea	2
Julida	2
Peniculida	2
Scalpelliformes	2
Lithobiomorpha	2
Polytrichales	2
Taphrinales	2
Spumellaria	2
Diplura	2
Stauromedusae	2
Aquifoliales	2
Echiniscoidea	2
Paxillosida	2
Astrophorida	2
Vampyromorpha	2
Dinocerata	2
Pyrosomatida	2
parvExoporia	2
Oligotrichida	2
Tremellales	2
Spatangoida	2
Ichthyosporea	2
Agelasida	2
Chitonida	2
Lycopodiales	2
Mesogastropoda	2
hygrophila	2
Bivalvulida	2
Anostraca	2
Vitales	2
Leptothecata	2
Pristiophoriformes	2
Lophogastrida	2
Cyclopoida	2
Gomphales	2
Ateleopodiformes	2
Scutigeromorpha	2
Ceratophyllales	2
Myodocopida	2
Bryales	2
Sepiolida	2
Spirobolida	2
Cantharellales	2
Sessilia	2
Narcomedusae	2
Leotiales	2
Tricholomatales	2
Poecilosclerida	2
Acarosporales	2
Stemonitida	2
Lunulariales	2
Spirostreptida	1
Gigartinales	1
Plumatellida	1
Percopsiformes	1
Comatulida	1
Dactylogyridea	1
Isoetales	1
Pteraspidomorphes	1
Scrophulariales	1
Chlorellales	1
Arcoida	1
Cardiida	1
Verongida	1
Entomophthorales	1
Sphaerotheriida	1
Oxytrichida	1
Veneroidei	1
Chlorodendrales	1
Strepsiptera	1
Antiarchi	1
Arthracanthida	1
Geophilomorpha	1
Pottiales	1
Hysteriales	1
Monostilifera	1
Lumbriculida	1
parvCatarrhini	1
Echinoida	1
Mucorales	1
Mugiliformes	1
Gastornithiformes	1
Hookeriales	1
Dendrocerotales	1
Coccosphaerales	1
Zoraptera	1
Osmundales	1
Myctophiformes	1
Heteronematales	1
Eucoccidiorida	1
Pertusariales	1
Thermales	1
Hymenochaetales	1
Paucituberculata	1
Jungermanniales	1
Echinothurioida	1
Naviculales	1
Trichocephalida	1
Cyclophyllidea	1
Mytiloida	1
Nemaliales	1
Trombidiformes	1
Palaeonisciformes	1
Nebaliacea	1
Molpadiida	1
Gymnotiformes	1
Podocopida	1
Rhizophydiales	1
Salpida	1
Rotaliida	1
Actinomycetales	1
Ammonitida	1
Erythropeltidales	1
Limoida	1
Clathrinida	1
Elasipodida	1
Aspidosiphoniformes	1
Aconchulinida	1
Microthamniales	1
Ministeriida	1
Lithistida	1
Apodida	1
Enterobacteriales	1
Heliolitida	1
Buxbaumiales	1
Batrachospermales	1
Embioptera	1
Phragmophora	1
Hymenophyllales	1
Limnognathida	1
Dasycladales	1
Ascaridida	1
Gobiesociformes	1
Gonorhynchiformes	1
Corallimorpharia	1
Pectinida	1
Ellimmichthyiformes	1
Pleurobranchomorpha	1
Polyzoniida	1
Strongylida	1
Tylenchida	1
Bruniales	1
Andreaeales	1
Arguloida	1
Notoryctemorphia	1
Grylloblattodea	1
Archaegastropoda	1
Pseudoscorpiones	1
Hadromerida	1
Pseudomonadales	1
Diplomonadida	1
Cyclotrichida	1
Schistostegiales	1
Gymnosomata	1
Chirodropida	1
Pterioida	1
Pennatulacea	1
Mysida	1
Calanoida	1
Sipunculiformes	1
Archaeognatha	1
Ceratiomyxales	1
Flosculariaceae	1
Siphonophora	1
Ichthyodectiformes	1
Sorbeoconcha	1
Astrorhizida	1
Foraminiferida	1
Rhynchonellida	1
Semaestomeae	1
Hemiaulales	1
Peridiniales	1
Peritrichida	1
Platyctenida	1
Pantopoda	1
Helioporacea	1
Acanthodiformes	1
Bicosoecida	1
Diplostraca	1
Leucodontales	1
Cyclostomatida	1
Anthocerotales	1
Poecilostomatoida	1
Hexactinosida	1
Palmariales	1
Limnomedusae	1
Dicranales	1
Eurotiales	1
Pythonomorpha	1
Myoida	1
Lingulida	1
Arthrodiriformes	1
Melanosporales	1
