taxon	freq
Mammalia	3512
Aves	3450
Insecta	2678
Magnoliopsida	2066
Actinopterygii	1274
Passeriformes	1237
Liliopsida	998
Lepidoptera	906
Reptilia	893
Amphibia	831
Chiroptera	764
Squamata	665
Carnivora	652
Anura	598
Rodentia	568
Asparagales	554
Coleoptera	549
Primates	544
Perciformes	531
Artiodactyla	406
Charadriiformes	405
Asterales	353
Lamiales	323
Orchidaceae	296
Diptera	288
Fabales	279
Agaricomycetes	268
Poales	258
Fabaceae	258
Asteraceae	250
Hymenoptera	240
Bovidae	232
Gastropoda	227
Vespertilionidae	217
Pteropodidae	216
Caudata	211
Sciuridae	200
Arachnida	197
Anseriformes	195
Muridae	193
Anatidae	192
Nymphalidae	188
Accipitriformes	187
Agaricales	179
Araneae	170
Caryophyllales	168
Elasmobranchii	167
Hemiptera	165
Accipitridae	163
Odonata	163
Malacostraca	162
Rosales	141
Iridaceae	141
Testudines	140
Felidae	137
Hylidae	137
Ranunculales	136
Psittaciformes	131
Psittacidae	131
Rhabditophora	130
Muscicapidae	130
Cercopithecidae	130
Orthoptera	129
Laridae	126
Pelecaniformes	123
Noctuidae	120
Columbiformes	118
Piciformes	117
Apodiformes	116
Columbidae	116
Pleuronectiformes	115
Mantodea	114
Decapoda	114
Poaceae	111
Solanales	108
Ericales	108
Galliformes	106
Rhinolophidae	105
Malpighiales	104
Scolopacidae	101
Canidae	100
Cyperaceae	99
Gentianales	99
Seriata	99
Emberizidae	98
Plethodontidae	97
Ranunculaceae	97
Phasianidae	97
Trochilidae	95
Not	95
Lemuridae	94
Solanaceae	92
Cypriniformes	91
Colubridae	90
Procellariiformes	90
Papilionidae	90
Cervidae	87
Cetacea	87
Corvidae	86
Rosaceae	85
Scorpaeniformes	84
Bufonidae	84
Mustelidae	84
Brassicales	83
Perissodactyla	81
Lamiaceae	80
Strigiformes	80
Cyprinidae	76
Brassicaceae	75
Gekkonidae	74
Coraciiformes	74
Libellulidae	73
Apidae	73
Picidae	72
Malvales	72
Lagomorpha	72
Sapindales	71
Liliales	71
Ardeidae	71
Asparagaceae	70
Gruiformes	69
Lycaenidae	67
Anas	67
Paridae	67
Cebidae	66
Chrysomelidae	65
Cephalopoda	64
Procyonidae	63
carex	62
Equisetopsida	62
Bivalvia	62
Neuroptera	62
Charadriidae	62
Polychaeta	62
Pinopsida	62
Pinales	62
Anthozoa	61
Stylommatophora	61
Carcharhiniformes	60
Mantidae	60
Sphingidae	59
Orobanchaceae	59
Falconidae	58
Falconiformes	58
Papilio	58
Ursidae	57
Apiales	57
Molossidae	57
Syrphidae	57
Strigidae	57
Rhinolophus	57
Leporidae	56
Caryophyllaceae	56
Araneidae	56
Phocidae	56
Geometridae	55
Parulidae	55
Thraupidae	55
Fringillidae	55
Rubiaceae	55
Plantaginaceae	54
Cerambycidae	54
Polychrotidae	54
Hipposideros	54
Delphinidae	53
Emballonuridae	53
Alismatales	52
Ambystomatidae	52
Myrtales	51
Pieridae	51
Pleuronectidae	50
Nudibranchia	49
Agamidae	49
Coccinellidae	49
Syngnathiformes	48
Apiaceae	48
Pteropus	48
Moraea	48
Ambystoma	48
Rutaceae	47
Procellariidae	47
Littorinimorpha	47
Panthera	47
Pomacentridae	46
Hominidae	46
Cossypha	46
Malvaceae	46
Estrildidae	46
Gobiidae	46
Acrididae	46
Spermophilus	46
Dipsacales	46
Saturniidae	45
Anguilliformes	45
Scincidae	45
Soricomorpha	45
Microhylidae	45
Diprotodontia	45
Hyla	44
Phyllostomidae	44
Myotis	44
Suliformes	44
Ranidae	43
Lecanoromycetes	43
Tarsiger	43
Amaryllidaceae	43
Falco	43
Icteridae	43
Formicidae	43
Stylidiaceae	43
Callitrichidae	42
Otariidae	42
Viperidae	42
Dugesiidae	42
Sylviidae	42
Epomophorus	41
Craciformes	41
Pinaceae	41
Poecile	41
Euphydryas	40
Serranidae	40
Tettigoniidae	40
Alaudidae	40
Canis	40
Ramphastidae	40
Liliaceae	40
Bombus	40
Labridae	40
Pipistrellus	40
Arctiidae	39
Cucurbitaceae	39
Magnoliales	39
Macaca	39
Fagales	39
Motacillidae	39
Eidolon	39
Stylidium	39
Phrynosomatidae	38
Emydidae	38
Carcharhinidae	38
Proteales	38
Curculionidae	37
Proteaceae	37
Ursus	37
Sciurus	37
Tetraodontiformes	37
Procyon	37
Threskiornithidae	37
Laniidae	36
Herpestidae	36
Veneroida	36
Lacertidae	36
Cracidae	36
Carabidae	36
Varecia	36
Dendrobatidae	36
Tyrannidae	36
Calopterygidae	35
Siluriformes	35
Turdidae	35
Hylobatidae	35
Moraceae	35
Propithecus	35
Amanitaceae	34
Bryopsida	34
Calopteryx	34
Dietes	34
Hylobates	34
Commelinales	34
Campanulaceae	34
Soricidae	34
Amanita	34
Sturnidae	34
Chamaeleonidae	33
Pitheciidae	33
Plethodon	33
Cucurbitales	33
Cuculiformes	33
Cetoniidae	33
Equidae	33
Ericaceae	33
Prostanthera	32
Cuculidae	32
Buprestidae	32
Vulpes	32
Indridae	32
Syngnathidae	31
Tapirus	31
Crocodylidae	31
Hirundinidae	31
Zygaenidae	31
Tapiridae	31
Buteo	31
Diomedeidae	31
Anolis	31
Myliobatiformes	31
Crocodylia	31
Bucerotiformes	31
Testudinidae	30
Eptesicus	30
Lithobates	30
Muraenidae	30
Vicia	30
Saxifragales	30
Taphozous	30
Malaconotidae	30
Alcedinidae	30
Cichlidae	29
Acanthuridae	29
Atelopus	29
Chaetodontidae	29
Bucerotidae	29
coccocypselum	29
Camelidae	29
Tricholomataceae	28
Alcidae	28
Terebellida	28
Scyphozoa	28
Fagaceae	28
Pinus	28
Lanius	28
Scrophulariaceae	28
Scotophilus	28
Boraginales	28
Boraginaceae	28
Myxomycetes	28
Salamandridae	28
Salticidae	28
Gadiformes	27
Erinaceomorpha	27
Florideophyceae	27
Agaricaceae	27
Ophrys	27
Pezizomycetes	27
Erinaceidae	27
Pezizales	27
Dasypodidae	27
Larus	27
Tamias	27
Cingulata	27
Lepus	27
Mephitidae	26
Carcharhinus	26
Bignoniaceae	26
Beryciformes	26
Alouatta	26
Papaveraceae	26
Cactaceae	26
Equus	26
Rallidae	26
Araceae	26
Soleidae	26
Polyporales	26
Ranunculus	26
Calidris	26
Caprifoliaceae	26
Laurales	26
Euphorbiaceae	26
Lecanorales	25
Pentatomidae	25
Eulemur	25
Phalacrocoracidae	25
Chlorophyceae	25
Emberiza	25
Annonaceae	25
Spheniscidae	25
Passeridae	25
Sphenisciformes	25
Hesperiidae	25
Scleractinia	25
Nycteris	24
Viverridae	24
Allium	24
Polygalaceae	24
Tricladida	24
Ciconiiformes	24
Dugesia	24
Nycteridae	24
Ciconiidae	24
Suidae	24
Nectariniidae	24
Macropodidae	24
Pseudocerotidae	24
Cheloniidae	24
Polygonaceae	23
Membracidae	23
Dendroica	23
Colchicaceae	23
Isopoda	23
Plecoptera	23
Rhyothemis	23
Lemur	23
Microtus	23
Acipenseriformes	23
Asteroidea	23
Echinoidea	23
Primulaceae	23
Tenebrionidae	23
Aeshnidae	22
Vanellus	22
Onagraceae	22
Didelphimorphia	22
Podicipediformes	22
Ascidiacea	22
Phasmida	22
Megadermatidae	22
Didelphidae	22
Pilosa	22
Turdus	22
Sylvilagus	22
Acanthaceae	22
Apocynaceae	22
Gentianaceae	22
Lathyrus	22
Corvus	22
Myrtaceae	22
Charadrius	22
Rousettus	22
Gruidae	22
Boidae	22
Hydrozoa	22
Podicipedidae	22
Oleaceae	22
Achiridae	21
Solanum	21
Cardinalidae	21
Helicidae	21
Cyprinodontiformes	21
Chaetodon	21
Astragalus	21
Tringa	21
Hyperoliidae	21
Octopoda	21
Scaridae	21
Diplopoda	21
Acipenseridae	21
Chroicocephalus	21
Laniarius	20
Proboscidea	20
Euphrasia	20
Melanerpes	20
Passifloraceae	20
Cicadellidae	20
Bromeliaceae	20
Norops	20
Varanus	20
Epidendrum	20
Carduelis	20
Polypodiopsida	20
Cordylidae	20
Quercus	20
Neogastropoda	20
Orchis	20
Mycenaceae	20
Merops	20
Apodidae	20
Asilidae	20
Scorpaenidae	20
Heteromyidae	20
Hippocampus	20
Erinaceus	20
Juncaceae	20
Crax	20
Varanidae	20
Meloidae	20
Coreidae	20
Meropidae	20
Lophiiformes	19
Motacilla	19
Iguanidae	19
Galerida	19
Leotiomycetes	19
Lauraceae	19
Cercopithecus	19
Phalacrocorax	19
Haematopodidae	19
Gymnophiona	19
Salmoniformes	19
Mops	19
Camelus	19
Thysanotus	19
Nectarinia	19
Goodeniaceae	19
Boletales	19
Holothuroidea	19
Anthus	19
Haematopus	19
Chalinolobus	19
Holocentridae	19
Passer	19
Trifolium	19
Centrolenidae	19
Hynobiidae	19
Capra	19
Russulales	18
Litoria	18
Squaliformes	18
Miridae	18
Pholidota	18
Egretta	18
Ficus	18
Blattodea	18
Manis	18
Oedemeridae	18
Manidae	18
Rajiformes	18
Haliaeetus	18
Salmonidae	18
Prionailurus	18
campanula	17
Planariidae	17
Elephantidae	17
Polycladida	17
Cathartidae	17
Caprimulgidae	17
Icterus	17
Chimaeriformes	17
Tragelaphus	17
Geraniaceae	17
Hymenopodidae	17
Phrynobatrachus	17
Aquila	17
Sarcopterygii	17
Characiformes	17
Geraniales	17
Holocephali	17
Musophagidae	17
Trichoptera	17
Marmota	17
Caviidae	17
Callicebus	17
Burhinidae	17
Phrynobatrachidae	17
Grus	17
Troglodytidae	17
Musophagiformes	17
Martes	17
Acanthurus	17
Plantago	17
subEuphydryas	17
Gadidae	17
Sceloporus	17
Cervus	16
Celastrales	16
Celastraceae	16
Myliobatidae	16
Arctocephalus	16
boronia	16
Tarachodidae	16
Convolvulaceae	16
Sebastidae	16
Oxytropis	16
Ochotona	16
Polypodiales	16
Tentaculata	16
Macroscelidea	16
Chromodorididae	16
Zygaena	16
Macropus	16
Dactylorhiza	16
Elateridae	16
Blenniidae	16
Macroscelididae	16
Anaxyrus	16
Dendropsophus	16
Euphonia	16
Tinamiformes	16
Teiidae	16
Dasyuromorphia	16
Ochotonidae	16
Struthioniformes	16
Tinamidae	16
Actiniaria	16
Coenagrionidae	16
Tortricidae	16
Lavia	16
iris	16
Upupiformes	16
Chaerephon	16
Puffinus	15
Mustela	15
Mycena	15
Halictidae	15
Acipenser	15
Mecoptera	15
Recurvirostridae	15
Crambidae	15
Passiflora	15
Ephemeroptera	15
Arthroleptidae	15
Sparidae	15
euphorbia	15
Geospiza	15
Coleura	15
Phoeniculidae	15
Callosciurus	15
Eremophila	15
Mantis	15
Chrysopidae	15
Indriidae	15
Megaloptera	15
Nasua	15
Danaus	15
Sapindaceae	15
Piperales	15
Oegopsida	15
Chrysolophus	15
Balaenopteridae	15
Cupressaceae	15
Scarabaeidae	15
Phoeniculus	15
Bombyliidae	15
Phyllodocida	15
Peromyscus	15
Anguidae	15
Meliphagidae	15
Lonicera	15
Burhinus	14
Demospongiae	14
Libellula	14
lynx	14
Leiuperidae	14
Sirenia	14
Commelinaceae	14
Amazona	14
Dioscoreales	14
Pleurogona	14
Podarcis	14
Verbenaceae	14
Chilopoda	14
Platalea	14
Octopodidae	14
Sus	14
Sebastes	14
Ardea	14
Plestiodon	14
Pandorea	14
Neotoma	14
Scyliorhinidae	14
Semaeostomeae	14
Myoxidae	14
Phthiraptera	14
Elapidae	14
Colotis	14
Pseudoceros	14
Erethizontidae	14
Salicaceae	14
Felis	14
Crotalus	14
Carangidae	14
Gorilla	14
Orthetrum	13
Arionidae	13
Miniopterus	13
Dioscoreaceae	13
Balaenoptera	13
Culicidae	13
Dendrobates	13
Eleutherodactylidae	13
Geomyidae	13
Leucophaeus	13
Pseudocreobotra	13
Sterna	13
Hipposideridae	13
Trinectes	13
Gymnothorax	13
Panorpa	13
Ovulidae	13
Littorinidae	13
Thomisidae	13
Giraffidae	13
Branta	13
Cistaceae	13
Epomops	13
Platysaurus	13
Sphaeropleales	13
Leontopithecus	13
Homo	13
Pelecanus	13
Fratercula	13
Pelecanidae	13
Diogenidae	13
Saguinus	13
Linum	13
Ameles	13
Lentibulariaceae	13
Cirsium	13
Lepisosteiformes	13
Lepisosteidae	13
Raphidioptera	13
Unionoida	13
Panorpidae	13
Piranga	13
Lutjanidae	13
Osteoglossiformes	13
Dioscorea	13
Oophaga	13
Hippopotamidae	13
Phaeophyceae	13
Nepenthes	13
Chamaeleo	13
Empusidae	13
Tauraco	13
Nepenthaceae	13
Rhinocerotidae	13
Papio	13
Adelidae	13
Cheirogaleidae	13
Geoemydidae	13
Sorex	13
Linaceae	13
