data_object_id	obj_url	height	width	xmin	ymin	xmax	ymax	name
1997045	http://www.biolib.cz/IMG/GAL/17186.jpg	700	559	0	0	0.0	0.0	Lepidoptera
24963297	http://farm5.staticflickr.com/4148/4840945935_fde324b211_o.jpg	1608	1488	303.8496	321.6	1353.9312	1371.6816	Lepidoptera
24926724	http://farm7.staticflickr.com/6179/6259270702_40360f7a88_o.jpg	768	960	34.176	183.4752	539.808	689.1072	Lepidoptera
25786769	http://farm3.staticflickr.com/2761/4443832462_66497b1a3d_o.jpg	600	631	44.9272	64.98	542.7231	562.7759	Lepidoptera
1998425	http://www.biolib.cz/IMG/GAL/64049.jpg	464	700	189.28	104.9568	436.87	352.5468	Lepidoptera
26324709	http://pamba.strandls.com/biodiv/images/Jamides_celeno/55f.jpg	600	713	54.9723	58.32	553.0741	556.4218000000001	Lepidoptera
26324711	http://pamba.strandls.com/biodiv/images/Jamides_celeno/55d.jpg	1920	2560	197.376	0	2117.376	1920.0	Lepidoptera
22666229	http://static.inaturalist.org/photos/181660/original.JPG?1349043115	2048	1463	267.5827	261.7344	1263.7394	1257.8911	Lepidoptera
20605305	http://butterfliesofamerica.com/images/Nymphalidae/Satyrinae/Cercyonis_p_pegala/Cercyonis_p_pegala_Tyrrell_Co_NC_21-VI-03_b2.jpg	600	840	133.308	11.64	681.66	559.992	Lepidoptera
5819262	http://www.biolib.cz/IMG/GAL/74506.jpg	600	400	178.32	94.98	296.64	213.3	Lepidoptera
29863107	http://inpn.mnhn.fr/tofs/16189.jpg	975	1300	67.73	92.04	910.0	934.31	Lepidoptera
29863108	http://inpn.mnhn.fr/tofs/16190.jpg	1733	1300	317.72	442.9548	1107.3400000000001	1232.5747999999999	Lepidoptera
29963590	http://www.biopix.com/photos/JCS-Argynnis-paphia-65318.JPG	426	640	130.112	51.12	475.712	396.72	Lepidoptera
1997863	http://www.biolib.cz/IMG/GAL/34079.jpg	518	690	138	208.6504	428.352	499.00239999999997	Lepidoptera
1998599	http://www.biolib.cz/IMG/GAL/40062.jpg	518	690	119.301	20.1502	596.5740000000001	497.4232	Lepidoptera
28400650	http://farm9.staticflickr.com/8162/7105660767_789949353e_o.jpg	960	1280	455.936	26.688	1253.248	824.0	Lepidoptera
26745441	http://static.inaturalist.org/photos/564263/original.jpg?1383539711	1441	2048	1016.0128	632.4549	1788.1088	1404.5509	Lepidoptera
5827490	http://www.biolib.cz/IMG/GAL/103969.jpg	600	800	141.68	48.36	553.36	460.04	Lepidoptera
13125370	http://multimedia.inbio.ac.cr/m3sINBio/getImage?size=big&id=9007	480	723	100.4247	8.016	565.0245	472.61580000000004	Lepidoptera
12518535	http://calphotos.berkeley.edu/imgs/512x768/9092_3191/3541/0127.jpeg	768	512	72.5504	253.9008	437.35040000000004	618.7008000000001	Lepidoptera
25085374	http://static.inaturalist.org/photos/366789/original.JPG?1371001194	838	1203	258.2841	0	1095.933	837.6489	Lepidoptera
25755145	http://static.inaturalist.org/photos/457804/original.jpg?1376621306	1152	2048	606.8224	64.512	1479.0656	936.7552000000001	Lepidoptera
26885176	http://upload.wikimedia.org/wikipedia/commons/5/5a/PassionFlowerButterfly_HeliconiusMelpomene.jpg	2430	1730	81.137	452.223	1696.2649999999999	2067.351	Lepidoptera
24907794	http://farm3.staticflickr.com/2044/2104635278_4482a051b7_o.jpg	850	1100	121	110.5	770.0	759.5	Lepidoptera
11754787	http://mothphotographersgroup.msstate.edu/Files1/Live/BP/BP0111.97a-225-072710-2.0-new.jpg	225	225	42.0075	51.0075	171.0	180.0	Lepidoptera
19147111	http://www.biopix.com/photos/JCS-Argyresthia-goedartella-00863.jpg	426	640	178.944	15.4212	574.784	411.2612	Lepidoptera
25766731	http://farm4.staticflickr.com/3107/2804091146_dfdb53a1eb_o.jpg	1014	1134	112.6062	8.4162	1080.5886	976.3986	Lepidoptera
5819274	http://www.biolib.cz/IMG/GAL/108199.jpg	562	750	79.65	4.6646	618.75	543.7646	Lepidoptera
9001202	http://tolweb.org/tree/ToLimages/HeliconiuselevatusD.jpg	300	400	64	0	364.0	300.0	Lepidoptera
19148073	http://www.biopix.com/photos/JCS-Autographa-gamma-49655.JPG	425	640	87.68	0	510.784	423.104	Lepidoptera
27006058	http://www.discoverlife.org/mp/20p?img=I_MWS65207&res=mx	1006	1535	415.064	0	1421.41	1006.346	Lepidoptera
24942871	http://farm3.staticflickr.com/2732/4037279501_b6b9f162ce_o.jpg	1676	2352	670.5552	307.2108	1872.192	1508.8476	Lepidoptera
19142896	http://www.biopix.com/photos/Acleris-forsskaleana-00016.JPG	425	640	165.952	13.0475	564.1600000000001	411.25550000000004	Lepidoptera
19148790	http://www.biopix.com/photos/Biston-betularia-00016.JPG	480	640	234.688	90.672	506.688	362.672	Lepidoptera
25808950	http://farm4.staticflickr.com/3014/2940461052_2407a56b92_o.jpg	960	1280	186.624	0	1136.0	949.376	Lepidoptera
19148789	http://www.biopix.com/photos/Biston-betularia-00017.JPG	480	640	128	62.688	509.312	444.0	Lepidoptera
12523809	http://calphotos.berkeley.edu/imgs/512x768/9092_3191/3540/0019.jpeg	512	768	223.2576	49.7664	641.3568	467.8656	Lepidoptera
20605337	http://butterfliesofamerica.com/images/Nymphalidae/Satyrinae/coenonympha_tullia_inornata/Coenonympha_tullia_inornata_CANADA_ONTARIO_Merrickville_Limerick_Forest_16-VI-2011_LAPORTE.JPG	600	840	243.348	53.34	708.3720000000001	518.364	Lepidoptera
19153000	http://www.biopix.com/photos/GDR-Cerura-vinula-02670.jpg	451	640	118.976	27.5561	497.216	405.7961	Lepidoptera
24801277	http://www.biopix.com/photos/SDL-Celastrina-argiolus-00006.jpg	425	640	161.216	100.725	388.8	328.30899999999997	Lepidoptera
19176750	http://www.biopix.com/photos/JCS-Panolis-flammea-36241.jpg	428	640	159.424	30.9016	504.384	375.86159999999995	Lepidoptera
32156630	https://farm4.staticflickr.com/3309/3626036460_ef89c7daa7_o.jpg	1200	1600	556.64	90	1536.6399999999999	1070.0	Lepidoptera
30101623	https://farm4.staticflickr.com/3702/9589132231_404f29eb31_o.jpg	675	900	110.61	0	785.61	675.0	Lepidoptera
9001609	http://tolweb.org/tree/ToLimages/historis_odius.jpg	312	415	48.0155	0	360.01250000000005	311.997	Lepidoptera
19165167	http://www.biopix.com/photos/JCS-Hemaris-tityus-37448.jpg	428	640	121.344	13.0968	487.74399999999997	379.49679999999995	Lepidoptera
25780907	http://farm5.staticflickr.com/4079/4943811222_6c6df999cb_o.jpg	650	718	90.1808	77.61	539.3616	526.7908	Lepidoptera
29872439	http://static.inaturalist.org/photos/956196/original.jpg?1404142312	1365	2048	584.0896	83.4015	1445.0688	944.3806999999999	Lepidoptera
26863443	http://upload.wikimedia.org/wikipedia/commons/1/1d/Marumba_quercus_eggs.jpg	480	768	200.5248	24.192	611.5584	435.2256	Lepidoptera
5819842	http://www.biolib.cz/IMG/GAL/89904.jpg	562	750	82.8	0	639.0749999999999	556.275	Lepidoptera
25205619	http://static.inaturalist.org/photos/404708/original.JPG?1373302800	1140	1600	592.48	183.654	1343.3600000000001	934.534	Lepidoptera
31809982	https://farm9.staticflickr.com/8670/15953123727_c8ceda5527_o.jpg	675	900	170.64	45.0225	798.75	673.1325	Lepidoptera
19885397	http://butterfliesofamerica.com/images/Nymphalidae/Biblidinae/eunica_tatila_tatilista/Eunica_tatila_tatilista_Lignumvitae_Key_Monroe_Co_FL_USA_28-V-04_4.jpg	600	840	156.66	19.98	688.2959999999999	551.616	Lepidoptera
27223763	http://upload.wikimedia.org/wikipedia/commons/2/24/Coenonympha_oedippus_-_Nature_Conservation-001-073-g034.jpg	1094	1512	242.8272	0	1335.8519999999999	1093.0248	Lepidoptera
27223761	http://upload.wikimedia.org/wikipedia/commons/0/0d/Coenonympha_hero_-_Nature_Conservation-001-073-g035.jpg	991	1512	352.7496	0	1344.0167999999999	991.2672	Lepidoptera
1997794	http://www.biolib.cz/IMG/GAL/33357.jpg	503	670	121.404	0	607.154	485.75	Lepidoptera
19176907	http://www.biopix.com/photos/SDL-Papilio-alexanor-00004.jpg	640	425	0	60.416	425.0	485.416	Lepidoptera
12516623	http://calphotos.berkeley.edu/imgs/512x768/9092_3191/3539/0129.jpeg	512	768	139.392	9.9328	622.9248	493.4656	Lepidoptera
31743657	https://farm8.staticflickr.com/7062/7152740587_4596294042_o.jpg	3168	4752	1047.3408	167.2704	3573.0288	2692.9584	Lepidoptera
11858295	http://mothphotographersgroup.msstate.edu/Files1/JV/300/JV5333-300.jpg	225	300	8.01	6.0075	224.01	222.0075	Lepidoptera
19175371	http://www.biopix.com/photos/JCS-Oligia-fasciuncula-53496.JPG	425	640	126.784	8.2875	538.048	419.55150000000003	Lepidoptera
9002110	http://tolweb.org/tree/ToLimages/Ithomia_diasia.jpg	300	400	128	0	387.0	259.0	Lepidoptera
29963868	http://www.biopix.com/photos/JCS-Lycaena-phlaeas-65704.JPG	427	640	209.088	0	629.376	420.288	Lepidoptera
11371340	http://www.morphbank.net/?id=66602&imgType=jpg	335	500	100	26.8	390.0	316.8	Lepidoptera
21946267	http://static.inaturalist.org/photos/98489/original.jpg	1071	1776	479.52	0	1545.12	1065.6	Lepidoptera
19161826	http://www.biopix.com/photos/JCS-Exoteleia-dodecella-49116.JPG	425	640	108.8	0	531.1999999999999	422.4	Lepidoptera
1997513	http://www.biolib.cz/IMG/GAL/33788.jpg	503	670	187.6	105.63	556.1	474.13	Lepidoptera
19153413	http://www.biopix.com/photos/Chesias-legatella-00038.JPG	425	640	108.8	0	531.1999999999999	422.4	Lepidoptera
19163958	http://www.biopix.com/photos/GDR-Grapholita-compositella-09429.jpg	459	640	128	41.31	454.4	367.71	Lepidoptera
1999185	http://www.biolib.cz/IMG/GAL/19090.jpg	503	670	80.4	15.09	542.7	477.39	Lepidoptera
5818794	http://www.biolib.cz/IMG/GAL/100153.jpg	453	680	190.4	0	639.2	448.8	Lepidoptera
24623851	http://farm9.staticflickr.com/8283/7815683696_79f17e8545.jpg	391	500	45	0	435.0	390.0	Lepidoptera
11385018	http://www.morphbank.net/?id=138136&imgType=jpg	242	400	68	0	308.0	240.0	Lepidoptera
32275595	http://static.inaturalist.org/photos/1325989/original.JPG?1415249849	365	486	140.94	83.95	364.5	307.51	Lepidoptera
