data_object_id	obj_url	height	width	xmin	ymin	xmax	ymax	name
30108758	https://farm4.staticflickr.com/3610/3301261083_e78c1e4e1f_o.jpg	675	900	202.5	0	877.5	675.0	Squamata
12525095	http://calphotos.berkeley.edu/imgs/512x768/8253_3202/3494/0092.jpeg	512	768	135.0912	11.3664	614.4	490.6752	Squamata
12508668	http://calphotos.berkeley.edu/imgs/512x768/1351_3151/0898/0056.jpeg	512	768	92.4672	7.1168	597.3504	512.0	Squamata
22493401	http://collections.mnh.si.edu/services/media.php?env=herps&irn=10295153	2616	3900	1104.09	450.4752	3261.1800000000003	2607.5652	Squamata
21940466	http://farm3.staticflickr.com/2757/4132467682_81b4618529_o.jpg	576	720	188.784	75.2256	609.5519999999999	495.99359999999996	Squamata
15607442	http://philbreo.lifedesks.org/image/view/1076/_original	2153	1495	346.84	645.9	1094.34	1393.4	Squamata
13254449	https://conabioweb.conabio.gob.mx/FotoWeb/FWbin/preview.dll/?D=BE1354FC96A6C04C9EE9F8F216382D1ED480CCFB7579B2B8F2F4F98ADC5145C2C012F3A11EA03D545C2A5B3B51B14BF004B20DF5C85DE41837ACB4DC2E4A6BD2E2DC661E85479A115D5E1BFE71BEACB1D21432053BCA4CF787C72928EC61EB04F02F97D313BDFDC16147E56543E7D05092AA327CD7EC031CE244C5C9C5B10BB08B3E98D3478368FBC38BAEA608666B4DFAA00C34162F53981FA7A7870364628A62126C734F4EA050C7745DD5FD44B72D037ACBB2C19D1432A6F9A28F7F640053D957360B38B4A7E5232F8EC89A84075B760F679DE26339E056DA2939BF01BED33E68DCE82D3FA2C43972923D05ECCF6BC5412696EED84E797736BEC40D86C1C6719C7F1EB0F5C1747ADF1FDDE839C5494A03D05DABE3C47C3AF86D2D49E00561019B2DF45893D69BF53CC9E2F542998B1C1CC81DAE59D0C6EEC63C48A219CDEFCA2985E05020E426A83635F55303C7B3FB13D91486514C3B0D722C3016B01BAF	458	700	128.31	23.3122	497.77	392.7722	Squamata
13148287	http://calphotos.berkeley.edu/imgs/512x768/0000_0000/0211/0075.jpeg	448	800	66.64	0	515.52	448.88	Squamata
12525648	http://calphotos.berkeley.edu/imgs/512x768/1073_3283/3181/0112.jpeg	512	768	156.4416	8.5504	651.3408	503.44960000000003	Squamata
23365110	http://static.inaturalist.org/photos/245269/original.jpg?1359857337	1365	2048	515.8912	326.0985	1513.2672	1323.4745	Squamata
25273714	http://static.inaturalist.org/photos/165982/original.JPG	1280	1920	480	10.624	1749.312	1279.936	Squamata
26444281	http://static.inaturalist.org/photos/526699/original.jpg?1380942622	2048	1339	45.526	307.2	1333.2423000000001	1594.9163	Squamata
25351092	http://static.inaturalist.org/photos/361511/original.jpg?1370663477	1365	2048	633.4464	250.2045	1642.2912000000001	1259.0493	Squamata
27437389	http://farm6.staticflickr.com/5481/10971524533_ff53d5cae7_o.jpg	1117	1825	463.0025	40.5471	1389.0075	966.5521	Squamata
31325839	http://upload.wikimedia.org/wikipedia/commons/6/66/Indiancobra.jpg	358	500	38	0	396.0	358.0	Squamata
31743581	https://farm8.staticflickr.com/7362/10347779665_9d4dc8b68b_o.jpg	2109	3213	737.7048	5.9052	2838.0429	2106.2433	Squamata
24892773	http://farm9.staticflickr.com/8428/7643670504_f3292f6cfa_o.jpg	1869	2448	119.2176	5.2332	1976.0256	1862.0412	Squamata
27435338	http://calphotos.berkeley.edu/imgs/512x768/0000_0000/0413/3362.jpeg	686	960	51.456	5.6938	718.08	672.3178	Squamata
12526105	http://calphotos.berkeley.edu/imgs/512x768/6666_6666/0209/0420.jpeg	384	255	69.36	141.8496	174.981	247.4706	Squamata
