id,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
66940,"April 17, 2012 9:04:48 AM PDT",2012-04-17,2012-04-17 16:04:48 UTC,Pacific Time (US & Canada),5857,pine458,2012-04-17 16:57:31 UTC,2016-05-19 20:18:43 UTC,research,,http://www.inaturalist.org/observations/66940,https://static.inaturalist.org/photos/102557/medium.jpg,,"",a deer's footprint in the mud on near montgomery campus,2,0,false,2,"Sonoma County, US-CA, US",38.4379729629,-122.6821363997,10,,,false,gps,gps,Mule Deer,Odocoileus hemionus,Mule Deer,Mammalia,42220
68368,"April 15, 2012 4:53:03 PM PDT",2012-04-15,2012-04-15 23:53:03 UTC,Pacific Time (US & Canada),5001,seathingie,2012-04-21 02:45:45 UTC,2016-06-22 20:15:42 UTC,research,,http://www.inaturalist.org/observations/68368,https://static.inaturalist.org/photos/103625/medium.jpg,,"",We saw raven footprints along the railroad track.,1,0,false,2,"Davenport, CA",37.00958254,-122.19299483,14,,open,false,gps,gps,Common Raven,Corvus corax,Common Raven,Aves,8010
73147,2012-04-14,2012-04-14,,Eastern Time (US & Canada),2060,mikeygraz,2012-05-01 13:37:57 UTC,2019-04-12 22:09:31 UTC,research,,http://www.inaturalist.org/observations/73147,https://static.inaturalist.org/photos/109919/medium.JPG,,"",Found several fresh footprints along a streambed,5,0,false,,"Ohio, US",38.6445353222,-82.5064998773,,,obscured,true,,,Bobcat,Lynx rufus,Bobcat,Mammalia,41976
84853,2012-05-20,2012-05-20,,Pacific Time (US & Canada),5640,andymj,2012-05-30 02:49:54 UTC,2019-03-06 03:53:21 UTC,casual,CC-BY,http://www.inaturalist.org/observations/84853,https://static.inaturalist.org/photos/124095/medium.JPG,,"",This is a picture of a river otter footprint on the beach.  The otter footprints led to the water away from the woods.,3,1,true,,"Port Ludlow, WA",47.9253693,-122.6834913,7183,,open,false,,,Domestic Dog,Canis familiaris,Domestic Dog,Mammalia,47144
126873,2008-08-17,2008-08-17,,Central Time (US & Canada),9531,kucycads,2012-09-25 14:20:26 UTC,2017-04-29 19:38:42 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/126873,https://static.inaturalist.org/photos/179675/medium.jpg,,"","Sitting in leaves at edge of path, footprints indicate someone stepped within one foot of this snake.",2,0,false,,"Arizona, US",33.904712122,-112.7766902075,440,obscured,,true,,,Western Diamondback Rattlesnake,Crotalus atrox,Western Diamond-backed Rattlesnake,Reptilia,30764
150777,"September 30, 2012 08:43",2012-09-30,2012-09-30 15:43:00 UTC,Pacific Time (US & Canada),5692,justin2,2012-11-20 20:16:46 UTC,2014-10-19 21:01:45 UTC,research,CC0,http://www.inaturalist.org/observations/150777,https://static.inaturalist.org/photos/207406/medium.JPG?1444794230,,"","Small mammal footprint on the strand at McClure Beach.

Claws are non-retractable, and the shape makes me think of weasels and allies. A small carnivore? Or could soft sand exaggerate a squirrel's nails this much?",1,0,false,,"",38.1865,-122.964833,,,,false,,,Striped Skunk (Mephitis mephitis),Mephitis mephitis,Striped Skunk,Mammalia,41880
223654,7/22/2012,2012-07-22,,Eastern Time (US & Canada),13594,bheitzman,2013-03-27 01:39:54 UTC,2020-05-01 04:10:18 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/223654,https://static.inaturalist.org/photos/281716/medium.JPG?1375734789,,Moose,"footprints of adults and youth observed along freshly-paved section of US-2.  Tracks emerged from the peat fen on the north side of the highway, traveled along the paved shoulder of the highway - against the flow of traffic - to roughly the center of the straight section of highway, then crossed into the wet coniferous forest on the south side.  These moose appeared familiar with proper pedestrian crossing recommendations of the US DOT.",0,0,false,,"Lunenburg, VT",44.4647164051,-71.7275261879,,,open,false,,,Moose,Alces alces,Moose,Mammalia,522193
246053,Fri Apr 26 2013 17:30:36 GMT-0400 (EDT),2013-04-26,2013-04-26 21:30:36 UTC,Eastern Time (US & Canada),13594,bheitzman,2013-04-26 22:50:13 UTC,2019-01-14 23:47:36 UTC,needs_id,CC-BY-NC,http://www.inaturalist.org/observations/246053,https://static.inaturalist.org/photos/307531/medium.jpg?1367016650,,"","footprints of 1 animal, traneling north along the southbound shoulder of Bog Rd",0,0,false,,"244–298 Bog Rd, Enfield, New Hampshire, US",43.5653333333,-72.1021666667,,,open,false,,,Moose,Alces alces,Moose,Mammalia,522193
340020,2013-06-29 16:38:22,2013-06-29,2013-06-29 20:38:22 UTC,Eastern Time (US & Canada),13594,bheitzman,2013-07-21 12:00:21 UTC,2019-01-14 23:48:24 UTC,research,CC-BY-NC,http://www.inaturalist.org/observations/340020,https://static.inaturalist.org/photos/423215/medium.JPG?1374408029,,"","Large footprints along the dirt road, fresh since yesterday's rains.",2,0,false,,"Mud Pond Rd, Granby, Vermont",44.5833333333,-71.7336666667,,,open,false,,,Moose,Alces alces,Moose,Mammalia,522193
370577,Mon Aug 19 2013 16:03:57 GMT-0400 (EDT),2013-08-19,2013-08-19 20:03:57 UTC,Eastern Time (US & Canada),13594,bheitzman,2013-08-19 21:18:49 UTC,2018-05-09 16:26:22 UTC,needs_id,CC-BY-NC,http://www.inaturalist.org/observations/370577,https://static.inaturalist.org/photos/463163/medium.jpg?1376947611,,"","a very rounded footprint, without distinct claws or toes; separated about 18-24 inches apart. Animal was travelling northward, crossing the boardwalk.",1,0,false,3,"Parker River NWR, Plum Island, MA",42.732564,-70.787875,79,,,false,,,Even-toed Ungulates (Order Artiodactyla),Artiodactyla,Even-toed Ungulates and Cetaceans,Mammalia,152870
